Tempo 0:	 p1 está pronto
Tempo 30: 	executando p1 -- fila de prontos: p4 ,p5 ,p6 ,p7  
Tempo 31: 	executando p1 -- fila de prontos: p4 ,p5 ,p6 ,p7  
Tempo 32: 	executando p1 -- fila de prontos: p4 ,p5 ,p6 ,p7  
Tempo 33: 	executando p1 -- fila de prontos: p4 ,p5 ,p6 ,p7  
Tempo 33:	p1 acabou -- fila de prontos: p4 ,p5 ,p6 ,p7  
Tempo 34: 	executando p4 -- fila de prontos: p5 ,p6 ,p7  
Tempo 35: 	executando p4 -- fila de prontos: p5 ,p6 ,p7  
Tempo 36: 	executando p4 -- fila de prontos: p5 ,p6 ,p7  
Tempo 37: 	executando p4 -- fila de prontos: p5 ,p6 ,p7  
Tempo 37:	p4 acabou -- fila de prontos: p5 ,p6 ,p7  
Tempo 38: 	executando p5 -- fila de prontos: p6 ,p7  
Tempo 39: 	executando p5 -- fila de prontos: p6 ,p7  
Tempo 40: 	executando p5 -- fila de prontos: p6 ,p7  
Tempo 41: 	executando p5 -- fila de prontos: p6 ,p7  
Tempo 42: 	executando p5 -- fila de prontos: p6 ,p7  
Tempo 43: 	executando p5 -- fila de prontos: p6 ,p7  
Tempo 44: 	executando p5 -- fila de prontos: p6 ,p7  
Tempo 45: 	executando p5 -- fila de prontos: p6 ,p7  
Tempo 45:	p5 acabou -- fila de prontos: p6 ,p7  
Tempo 46: 	executando p6 -- fila de prontos vazia
Tempo 47: 	executando p6 -- fila de prontos vazia
Tempo 48: 	executando p6 -- fila de prontos vazia
Tempo 49: 	executando p7 -- fila de prontos vazia
Tempo 50: 	executando p7 -- fila de prontos vazia
Tempo 51: 	executando p7 -- fila de prontos vazia
Tempo 52: 	executando p6 -- fila de prontos vazia
Tempo 53: 	executando p6 -- fila de prontos vazia
Tempo 54: 	executando p6 -- fila de prontos vazia
Tempo 54:	p6 acabou -- fila de prontos vazia
Tempo 55: 	executando p7 -- fila de prontos vazia
Tempo 56: 	executando p7 -- fila de prontos vazia
Tempo 57: 	executando p7 -- fila de prontos vazia
Tempo 58: 	executando p7 -- fila de prontos vazia
Tempo 58:	p7 acabou -- fila de prontos vazia
Tempo 100:	 p10 está pronto
Tempo 101: 	executando p10 -- fila de prontos vazia
Tempo 102: 	executando p10 -- fila de prontos vazia
Tempo 103: 	executando p10 -- fila de prontos vazia
Tempo 104: 	executando p10 -- fila de prontos vazia
Tempo 105: 	executando p10 -- fila de prontos vazia
Tempo 106: 	executando p10 -- fila de prontos vazia
Tempo 106:	p10 acabou -- fila de prontos vazia
